Text,Sentiment
"Bitcoin recorded a 2.09% change in the last 24 hours, with a trading volume of $10552648.13 and market cap $355312574288204.5. News sentiment score is 0.337 and social sentiment is 0.684.",Negative
"Avalanche recorded a 15.05% change in the last 24 hours, with a trading volume of $27781861.61 and market cap $605285446838.78. News sentiment score is -0.217 and social sentiment is -0.251.",Negative
"Solana recorded a 3.0% change in the last 24 hours, with a trading volume of $2706973.16 and market cap $850885487808.55. News sentiment score is 0.605 and social sentiment is 0.671.",Positive
"Polkadot recorded a 13.75% change in the last 24 hours, with a trading volume of $2633468.68 and market cap $16154805077.35. News sentiment score is 0.327 and social sentiment is 0.13.",Negative
"Bitcoin recorded a 13.44% change in the last 24 hours, with a trading volume of $9819901.84 and market cap $699454458904438.5. News sentiment score is -0.203 and social sentiment is 0.189.",Negative
"Avalanche recorded a -0.28% change in the last 24 hours, with a trading volume of $3088753.4 and market cap $413494784821.89. News sentiment score is -0.032 and social sentiment is -0.154.",Negative
"Ethereum recorded a 16.38% change in the last 24 hours, with a trading volume of $1137224.8 and market cap $53821879732685.45. News sentiment score is 0.043 and social sentiment is -0.46.",Negative
"Polkadot recorded a 1.14% change in the last 24 hours, with a trading volume of $1001533.33 and market cap $108903244923.43. News sentiment score is 0.405 and social sentiment is -0.063.",Neutral
"Avalanche recorded a 13.04% change in the last 24 hours, with a trading volume of $5575965.89 and market cap $96130618786.99. News sentiment score is 0.022 and social sentiment is 0.113.",Negative
"Polkadot recorded a 3.92% change in the last 24 hours, with a trading volume of $4212922.8 and market cap $97630078925.6. News sentiment score is 0.427 and social sentiment is 0.13.",Neutral
"Bitcoin recorded a 11.43% change in the last 24 hours, with a trading volume of $4320504.94 and market cap $746829086724982.8. News sentiment score is -0.364 and social sentiment is -0.268.",Negative
"Cardano recorded a -8.85% change in the last 24 hours, with a trading volume of $1924292.21 and market cap $8761206701.4. News sentiment score is -0.384 and social sentiment is -0.134.",Negative
"Cosmos recorded a 3.3% change in the last 24 hours, with a trading volume of $4851730.59 and market cap $5775655139.78. News sentiment score is -0.256 and social sentiment is 0.198.",Negative
"Polygon recorded a -19.85% change in the last 24 hours, with a trading volume of $2361942.35 and market cap $22945503588.05. News sentiment score is 0.097 and social sentiment is 0.254.",Negative
"Ethereum recorded a -11.52% change in the last 24 hours, with a trading volume of $9800867.64 and market cap $6728751604343.37. News sentiment score is 0.436 and social sentiment is 0.158.",Neutral
"Solana recorded a 8.44% change in the last 24 hours, with a trading volume of $29083890.9 and market cap $329525136757.57. News sentiment score is -0.755 and social sentiment is -0.476.",Negative
"Bitcoin recorded a 6.71% change in the last 24 hours, with a trading volume of $2012835.01 and market cap $256080468257714.3. News sentiment score is 0.121 and social sentiment is 0.136.",Negative
"Avalanche recorded a -2.26% change in the last 24 hours, with a trading volume of $4118524.37 and market cap $118877860960.51. News sentiment score is -0.218 and social sentiment is -0.669.",Negative
"Avalanche recorded a -0.06% change in the last 24 hours, with a trading volume of $765456.57 and market cap $7754814652.57. News sentiment score is -0.238 and social sentiment is 0.072.",Negative
"Ethereum recorded a 6.37% change in the last 24 hours, with a trading volume of $4049328.66 and market cap $18912811731649.62. News sentiment score is -0.052 and social sentiment is 0.489.",Negative
"Polkadot recorded a 0.17% change in the last 24 hours, with a trading volume of $5621510.05 and market cap $93060394567.69. News sentiment score is 0.202 and social sentiment is -0.07.",Negative
"Ethereum recorded a -3.78% change in the last 24 hours, with a trading volume of $5138440.81 and market cap $51777277533556.4. News sentiment score is -0.249 and social sentiment is -0.275.",Negative
"Bitcoin recorded a 8.12% change in the last 24 hours, with a trading volume of $3429342.86 and market cap $254090599338552.0. News sentiment score is -0.138 and social sentiment is 0.036.",Negative
"Cosmos recorded a 4.24% change in the last 24 hours, with a trading volume of $1758586.68 and market cap $230513143704.68. News sentiment score is 0.481 and social sentiment is 0.746.",Neutral
"Cosmos recorded a -5.46% change in the last 24 hours, with a trading volume of $4110551.13 and market cap $180083827408.04. News sentiment score is -0.052 and social sentiment is -0.253.",Negative
"Bitcoin recorded a -8.06% change in the last 24 hours, with a trading volume of $5369200.57 and market cap $219673095827071.1. News sentiment score is 0.271 and social sentiment is 0.543.",Negative
"Polkadot recorded a 10.83% change in the last 24 hours, with a trading volume of $1811019.77 and market cap $172513381684.46. News sentiment score is -0.631 and social sentiment is -0.079.",Negative
"Polygon recorded a -1.58% change in the last 24 hours, with a trading volume of $7324624.09 and market cap $27882979562.16. News sentiment score is -0.05 and social sentiment is -0.061.",Negative
"Avalanche recorded a -14.31% change in the last 24 hours, with a trading volume of $5200668.78 and market cap $116012313622.09. News sentiment score is 0.248 and social sentiment is 0.199.",Negative
"Cardano recorded a 0.0% change in the last 24 hours, with a trading volume of $3237808.39 and market cap $1282522549.53. News sentiment score is -0.032 and social sentiment is 0.03.",Negative
"Avalanche recorded a 3.61% change in the last 24 hours, with a trading volume of $3020017.61 and market cap $20745505508.02. News sentiment score is 0.04 and social sentiment is 0.152.",Negative
"Algorand recorded a -4.29% change in the last 24 hours, with a trading volume of $970086.12 and market cap $5573577366.99. News sentiment score is -0.012 and social sentiment is 0.256.",Negative
"Polkadot recorded a 1.87% change in the last 24 hours, with a trading volume of $4868621.85 and market cap $75628338373.37. News sentiment score is -0.851 and social sentiment is -0.401.",Negative
"Avalanche recorded a -10.95% change in the last 24 hours, with a trading volume of $1261537.61 and market cap $263544118337.81. News sentiment score is -0.049 and social sentiment is -0.091.",Negative
"Chainlink recorded a -3.92% change in the last 24 hours, with a trading volume of $3065028.72 and market cap $193667340095.97. News sentiment score is -0.248 and social sentiment is -0.419.",Negative
"Chainlink recorded a 1.67% change in the last 24 hours, with a trading volume of $5011368.53 and market cap $109187902285.39. News sentiment score is 0.235 and social sentiment is 0.176.",Negative
"Solana recorded a -0.78% change in the last 24 hours, with a trading volume of $6701373.78 and market cap $703642656358.54. News sentiment score is 0.148 and social sentiment is 0.561.",Negative
"Solana recorded a -7.52% change in the last 24 hours, with a trading volume of $5612446.43 and market cap $1488554517353.81. News sentiment score is -0.042 and social sentiment is -0.367.",Negative
"Cardano recorded a 6.45% change in the last 24 hours, with a trading volume of $1496990.96 and market cap $5563125828.88. News sentiment score is -0.119 and social sentiment is 0.144.",Negative
"Polygon recorded a -7.39% change in the last 24 hours, with a trading volume of $1519213.2 and market cap $20952193669.39. News sentiment score is 0.283 and social sentiment is 0.412.",Negative
"Ethereum recorded a -2.5% change in the last 24 hours, with a trading volume of $4260608.16 and market cap $56985884707440.55. News sentiment score is 0.433 and social sentiment is 0.091.",Neutral
"Ethereum recorded a 6.36% change in the last 24 hours, with a trading volume of $13719931.62 and market cap $39396257998736.93. News sentiment score is 0.238 and social sentiment is -0.022.",Negative
"Cardano recorded a 4.76% change in the last 24 hours, with a trading volume of $2557427.51 and market cap $4078819417.54. News sentiment score is 0.055 and social sentiment is 0.021.",Negative
"Polygon recorded a -18.05% change in the last 24 hours, with a trading volume of $3264516.91 and market cap $25429734273.16. News sentiment score is -0.148 and social sentiment is -0.21.",Negative
"Ethereum recorded a -0.85% change in the last 24 hours, with a trading volume of $1318960.74 and market cap $44879117943346.06. News sentiment score is 0.333 and social sentiment is 0.17.",Negative
"Chainlink recorded a -2.21% change in the last 24 hours, with a trading volume of $3250018.3 and market cap $48135281403.25. News sentiment score is 0.051 and social sentiment is -0.356.",Negative
"Cosmos recorded a -9.53% change in the last 24 hours, with a trading volume of $16088344.03 and market cap $173069997363.59. News sentiment score is 0.004 and social sentiment is -0.056.",Negative
"Ethereum recorded a 2.25% change in the last 24 hours, with a trading volume of $3714553.91 and market cap $52343952086201.09. News sentiment score is 0.085 and social sentiment is -0.068.",Negative
"Bitcoin recorded a -2.01% change in the last 24 hours, with a trading volume of $8485495.29 and market cap $655271138346325.0. News sentiment score is 0.204 and social sentiment is 0.161.",Negative
"Cardano recorded a 12.07% change in the last 24 hours, with a trading volume of $2727477.3 and market cap $4345184717.97. News sentiment score is 0.046 and social sentiment is 0.248.",Negative
"Cardano recorded a 12.5% change in the last 24 hours, with a trading volume of $2991233.18 and market cap $4696280563.29. News sentiment score is -0.425 and social sentiment is -0.142.",Negative
"Cardano recorded a -2.36% change in the last 24 hours, with a trading volume of $474034.89 and market cap $930997812.75. News sentiment score is -0.365 and social sentiment is -0.212.",Negative
"Polkadot recorded a -4.09% change in the last 24 hours, with a trading volume of $7241532.86 and market cap $50791413242.01. News sentiment score is 0.407 and social sentiment is 0.616.",Neutral
"Ethereum recorded a -5.96% change in the last 24 hours, with a trading volume of $22272097.91 and market cap $45272780738379.98. News sentiment score is 0.171 and social sentiment is 0.274.",Negative
"Avalanche recorded a 7.13% change in the last 24 hours, with a trading volume of $867025.14 and market cap $170187096166.46. News sentiment score is 0.132 and social sentiment is 0.05.",Negative
"Cosmos recorded a 5.25% change in the last 24 hours, with a trading volume of $12295906.21 and market cap $78840141094.22. News sentiment score is 0.225 and social sentiment is 0.02.",Negative
"Polkadot recorded a -8.29% change in the last 24 hours, with a trading volume of $7103459.55 and market cap $123079270820.37. News sentiment score is 0.165 and social sentiment is 0.072.",Negative
"Cardano recorded a -1.06% change in the last 24 hours, with a trading volume of $17884257.27 and market cap $6271176171.58. News sentiment score is 0.136 and social sentiment is 0.023.",Negative
"Cardano recorded a 6.56% change in the last 24 hours, with a trading volume of $2385251.32 and market cap $2864497479.76. News sentiment score is -0.168 and social sentiment is -0.593.",Negative
"Avalanche recorded a -4.26% change in the last 24 hours, with a trading volume of $4140646.78 and market cap $202523590058.78. News sentiment score is -0.004 and social sentiment is -0.516.",Negative
"Algorand recorded a 1.81% change in the last 24 hours, with a trading volume of $207277.13 and market cap $2187801621.37. News sentiment score is -0.11 and social sentiment is -0.064.",Negative
"Polkadot recorded a 2.17% change in the last 24 hours, with a trading volume of $2308101.91 and market cap $25511531055.84. News sentiment score is 0.046 and social sentiment is -0.025.",Negative
"Polygon recorded a 1.67% change in the last 24 hours, with a trading volume of $13808233.46 and market cap $20462710190.2. News sentiment score is 0.719 and social sentiment is 0.395.",Positive
"Ethereum recorded a -0.46% change in the last 24 hours, with a trading volume of $9816708.17 and market cap $57063651965550.23. News sentiment score is 0.625 and social sentiment is 0.499.",Positive
"Cosmos recorded a 20.34% change in the last 24 hours, with a trading volume of $2091080.71 and market cap $18741065919.96. News sentiment score is 0.287 and social sentiment is 0.236.",Negative
"Cardano recorded a -12.91% change in the last 24 hours, with a trading volume of $6010308.71 and market cap $6173774060.98. News sentiment score is 0.727 and social sentiment is 0.215.",Positive
"Chainlink recorded a 11.49% change in the last 24 hours, with a trading volume of $2586212.42 and market cap $47360940335.36. News sentiment score is -0.166 and social sentiment is 0.396.",Negative
"Chainlink recorded a -6.49% change in the last 24 hours, with a trading volume of $4634842.02 and market cap $258651256249.95. News sentiment score is -0.299 and social sentiment is 0.141.",Negative
"Bitcoin recorded a 4.24% change in the last 24 hours, with a trading volume of $5825682.81 and market cap $503070875649573.06. News sentiment score is 0.2 and social sentiment is -0.008.",Negative
"Cosmos recorded a 1.04% change in the last 24 hours, with a trading volume of $1684218.33 and market cap $24699279892.58. News sentiment score is -0.279 and social sentiment is -0.348.",Negative
"Algorand recorded a -13.81% change in the last 24 hours, with a trading volume of $1257106.6 and market cap $7243738079.98. News sentiment score is 0.407 and social sentiment is 0.47.",Neutral
"Cardano recorded a 10.4% change in the last 24 hours, with a trading volume of $1650098.49 and market cap $692438293.6. News sentiment score is -0.172 and social sentiment is -0.062.",Negative
"Ethereum recorded a -8.12% change in the last 24 hours, with a trading volume of $3607690.44 and market cap $34124886659880.17. News sentiment score is -0.194 and social sentiment is -0.322.",Negative
"Ethereum recorded a 8.08% change in the last 24 hours, with a trading volume of $2988292.99 and market cap $48859958568437.18. News sentiment score is 0.497 and social sentiment is 0.194.",Neutral
"Chainlink recorded a 2.09% change in the last 24 hours, with a trading volume of $7072626.63 and market cap $139842998455.29. News sentiment score is 0.279 and social sentiment is -0.307.",Negative
"Bitcoin recorded a 6.18% change in the last 24 hours, with a trading volume of $2429259.1 and market cap $904280643865125.6. News sentiment score is -0.462 and social sentiment is -0.196.",Negative
"Polkadot recorded a 0.85% change in the last 24 hours, with a trading volume of $2094697.52 and market cap $60337755203.46. News sentiment score is -0.428 and social sentiment is 0.013.",Negative
"Ethereum recorded a -3.12% change in the last 24 hours, with a trading volume of $5315250.11 and market cap $34007067016543.78. News sentiment score is -0.027 and social sentiment is 0.264.",Negative
"Bitcoin recorded a 9.03% change in the last 24 hours, with a trading volume of $7191870.36 and market cap $841406068840935.2. News sentiment score is -0.213 and social sentiment is -0.178.",Negative
"Ethereum recorded a 8.64% change in the last 24 hours, with a trading volume of $9672936.34 and market cap $39072669495044.49. News sentiment score is -0.071 and social sentiment is 0.212.",Negative
"Ethereum recorded a -5.94% change in the last 24 hours, with a trading volume of $3157988.68 and market cap $30257284294192.27. News sentiment score is 0.105 and social sentiment is 0.145.",Negative
"Chainlink recorded a 11.15% change in the last 24 hours, with a trading volume of $2617743.27 and market cap $242722476373.7. News sentiment score is -0.451 and social sentiment is -0.485.",Negative
"Avalanche recorded a 2.04% change in the last 24 hours, with a trading volume of $2823783.07 and market cap $644941737909.27. News sentiment score is -0.558 and social sentiment is -0.039.",Negative
"Solana recorded a 6.53% change in the last 24 hours, with a trading volume of $6077525.66 and market cap $100070620342.82. News sentiment score is 0.459 and social sentiment is 0.179.",Neutral
"Ethereum recorded a -2.92% change in the last 24 hours, with a trading volume of $2327720.95 and market cap $45715116836153.5. News sentiment score is 0.313 and social sentiment is 0.36.",Negative
"Algorand recorded a 6.3% change in the last 24 hours, with a trading volume of $3884344.61 and market cap $1253154254.86. News sentiment score is -0.681 and social sentiment is -0.2.",Negative
"Bitcoin recorded a -8.88% change in the last 24 hours, with a trading volume of $6230755.88 and market cap $720128733293614.8. News sentiment score is 0.399 and social sentiment is 0.501.",Negative
"Solana recorded a -11.32% change in the last 24 hours, with a trading volume of $1098080.02 and market cap $401715750556.79. News sentiment score is 0.488 and social sentiment is 0.304.",Neutral
"Bitcoin recorded a -11.52% change in the last 24 hours, with a trading volume of $3282763.77 and market cap $264142294181280.0. News sentiment score is -0.214 and social sentiment is -0.265.",Negative
"Polkadot recorded a -0.65% change in the last 24 hours, with a trading volume of $16219183.35 and market cap $123330820019.51. News sentiment score is 0.11 and social sentiment is 0.152.",Negative
"Cosmos recorded a 2.14% change in the last 24 hours, with a trading volume of $7525698.01 and market cap $54044852935.95. News sentiment score is 0.428 and social sentiment is 0.281.",Neutral
"Polkadot recorded a -5.51% change in the last 24 hours, with a trading volume of $4507739.65 and market cap $74350510497.69. News sentiment score is -0.177 and social sentiment is -0.197.",Negative
"Ethereum recorded a -11.3% change in the last 24 hours, with a trading volume of $10360373.55 and market cap $23118068898148.25. News sentiment score is 0.209 and social sentiment is 0.452.",Negative
"Chainlink recorded a 5.33% change in the last 24 hours, with a trading volume of $1763853.01 and market cap $298333634531.01. News sentiment score is -0.053 and social sentiment is -0.082.",Negative
"Avalanche recorded a -2.36% change in the last 24 hours, with a trading volume of $11933840.25 and market cap $686074609910.78. News sentiment score is 0.189 and social sentiment is 0.083.",Negative
"Algorand recorded a 11.08% change in the last 24 hours, with a trading volume of $15504041.55 and market cap $1546389350.24. News sentiment score is 0.322 and social sentiment is 0.216.",Negative
"Polkadot recorded a 0.15% change in the last 24 hours, with a trading volume of $9326098.05 and market cap $64443104685.45. News sentiment score is 0.37 and social sentiment is 0.117.",Negative
"Solana recorded a 0.8% change in the last 24 hours, with a trading volume of $13701310.1 and market cap $912039889156.0. News sentiment score is -0.306 and social sentiment is 0.166.",Negative
"Algorand recorded a 6.68% change in the last 24 hours, with a trading volume of $6193500.05 and market cap $2370304669.65. News sentiment score is 0.217 and social sentiment is 0.119.",Negative
"Algorand recorded a -1.82% change in the last 24 hours, with a trading volume of $656632.07 and market cap $4862336095.15. News sentiment score is -0.17 and social sentiment is -0.434.",Negative
"Avalanche recorded a -1.86% change in the last 24 hours, with a trading volume of $9993211.49 and market cap $182520256820.85. News sentiment score is 0.177 and social sentiment is 0.246.",Negative
"Polkadot recorded a 4.48% change in the last 24 hours, with a trading volume of $10585680.09 and market cap $20693241922.55. News sentiment score is -0.099 and social sentiment is 0.13.",Negative
"Algorand recorded a -7.65% change in the last 24 hours, with a trading volume of $2779598.48 and market cap $50220895.85. News sentiment score is 0.34 and social sentiment is 0.652.",Negative
"Cosmos recorded a 1.25% change in the last 24 hours, with a trading volume of $4558455.75 and market cap $12930384544.81. News sentiment score is 0.142 and social sentiment is 0.153.",Negative
"Avalanche recorded a 2.64% change in the last 24 hours, with a trading volume of $1174688.1 and market cap $374699960250.41. News sentiment score is 0.312 and social sentiment is 0.255.",Negative
"Polkadot recorded a -1.56% change in the last 24 hours, with a trading volume of $17639155.77 and market cap $138689492715.44. News sentiment score is -0.12 and social sentiment is 0.271.",Negative
"Cardano recorded a 3.19% change in the last 24 hours, with a trading volume of $1619950.91 and market cap $5083206518.06. News sentiment score is -0.051 and social sentiment is -0.028.",Negative
"Polygon recorded a 9.2% change in the last 24 hours, with a trading volume of $3046615.58 and market cap $8957127165.48. News sentiment score is -0.172 and social sentiment is -0.296.",Negative
"Algorand recorded a 3.7% change in the last 24 hours, with a trading volume of $1637299.95 and market cap $3294051107.76. News sentiment score is -0.271 and social sentiment is 0.096.",Negative
"Bitcoin recorded a -16.08% change in the last 24 hours, with a trading volume of $20231236.36 and market cap $779331264145194.0. News sentiment score is -0.045 and social sentiment is -0.322.",Negative
"Bitcoin recorded a 11.42% change in the last 24 hours, with a trading volume of $4962619.55 and market cap $959468520010901.6. News sentiment score is 0.001 and social sentiment is -0.095.",Negative
"Cardano recorded a 8.17% change in the last 24 hours, with a trading volume of $2941310.8 and market cap $5926434209.98. News sentiment score is -0.092 and social sentiment is -0.132.",Negative
"Avalanche recorded a -6.73% change in the last 24 hours, with a trading volume of $5581229.79 and market cap $468055139548.39. News sentiment score is 0.1 and social sentiment is 0.184.",Negative
"Cosmos recorded a 18.87% change in the last 24 hours, with a trading volume of $2049776.61 and market cap $127854092628.9. News sentiment score is 0.193 and social sentiment is 0.131.",Negative
"Chainlink recorded a -10.85% change in the last 24 hours, with a trading volume of $14514081.23 and market cap $145901173131.87. News sentiment score is 0.119 and social sentiment is 0.017.",Negative
"Polkadot recorded a -7.95% change in the last 24 hours, with a trading volume of $687174.92 and market cap $105684151487.34. News sentiment score is 0.379 and social sentiment is -0.049.",Negative
"Polygon recorded a 6.25% change in the last 24 hours, with a trading volume of $4325433.19 and market cap $7922767970.08. News sentiment score is -0.19 and social sentiment is -0.255.",Negative
"Ethereum recorded a -2.58% change in the last 24 hours, with a trading volume of $550246.33 and market cap $38625781039211.41. News sentiment score is 0.045 and social sentiment is 0.066.",Negative
"Polkadot recorded a 10.97% change in the last 24 hours, with a trading volume of $11531590.73 and market cap $37666228921.24. News sentiment score is -0.098 and social sentiment is -0.242.",Negative
"Solana recorded a 4.15% change in the last 24 hours, with a trading volume of $2439722.5 and market cap $1788914058402.97. News sentiment score is -0.125 and social sentiment is 0.069.",Negative
"Ethereum recorded a -2.45% change in the last 24 hours, with a trading volume of $6167216.1 and market cap $39794646111275.45. News sentiment score is -0.589 and social sentiment is -0.229.",Negative
"Algorand recorded a 7.29% change in the last 24 hours, with a trading volume of $2118231.51 and market cap $5398501402.03. News sentiment score is -0.439 and social sentiment is -0.358.",Negative
"Cardano recorded a -6.2% change in the last 24 hours, with a trading volume of $5179561.78 and market cap $6476101433.1. News sentiment score is 0.004 and social sentiment is 0.405.",Negative
"Cosmos recorded a -11.58% change in the last 24 hours, with a trading volume of $3137997.28 and market cap $155352598011.23. News sentiment score is -0.214 and social sentiment is -0.352.",Negative
"Cosmos recorded a -20.35% change in the last 24 hours, with a trading volume of $1306210.6 and market cap $59361843134.22. News sentiment score is 0.009 and social sentiment is 0.213.",Negative
"Avalanche recorded a 10.13% change in the last 24 hours, with a trading volume of $2517759.07 and market cap $424576322523.88. News sentiment score is -0.083 and social sentiment is -0.459.",Negative
"Bitcoin recorded a 3.0% change in the last 24 hours, with a trading volume of $26614186.39 and market cap $55698898706580.07. News sentiment score is 0.221 and social sentiment is -0.133.",Negative
"Algorand recorded a -8.77% change in the last 24 hours, with a trading volume of $8646919.56 and market cap $5091868334.96. News sentiment score is 0.044 and social sentiment is -0.078.",Negative
"Polkadot recorded a -14.07% change in the last 24 hours, with a trading volume of $2093913.07 and market cap $167462335899.31. News sentiment score is 0.053 and social sentiment is 0.244.",Negative
"Bitcoin recorded a 10.64% change in the last 24 hours, with a trading volume of $1514846.71 and market cap $930987833328104.2. News sentiment score is -0.394 and social sentiment is -0.079.",Negative
"Solana recorded a 10.35% change in the last 24 hours, with a trading volume of $2713428.41 and market cap $517462804337.25. News sentiment score is -0.129 and social sentiment is -0.09.",Negative
"Cosmos recorded a 3.49% change in the last 24 hours, with a trading volume of $1079906.35 and market cap $86767771331.19. News sentiment score is 0.37 and social sentiment is 0.377.",Negative
"Polkadot recorded a 1.66% change in the last 24 hours, with a trading volume of $1499100.29 and market cap $81464265947.25. News sentiment score is -0.207 and social sentiment is -0.472.",Negative
"Cosmos recorded a 0.87% change in the last 24 hours, with a trading volume of $9474673.84 and market cap $160583224284.89. News sentiment score is -0.445 and social sentiment is -0.27.",Negative
"Bitcoin recorded a -2.2% change in the last 24 hours, with a trading volume of $1784350.92 and market cap $487308555010596.9. News sentiment score is -0.101 and social sentiment is 0.13.",Negative
"Polkadot recorded a -2.6% change in the last 24 hours, with a trading volume of $1267180.68 and market cap $40104806495.3. News sentiment score is 0.221 and social sentiment is 0.144.",Negative
"Chainlink recorded a 16.46% change in the last 24 hours, with a trading volume of $4230502.15 and market cap $107296005079.65. News sentiment score is 0.073 and social sentiment is 0.131.",Negative
"Cardano recorded a -2.7% change in the last 24 hours, with a trading volume of $91450905.81 and market cap $6462762766.62. News sentiment score is 0.246 and social sentiment is 0.317.",Negative
"Algorand recorded a -3.02% change in the last 24 hours, with a trading volume of $7581843.15 and market cap $5511329575.67. News sentiment score is -0.467 and social sentiment is -0.209.",Negative
"Algorand recorded a -8.12% change in the last 24 hours, with a trading volume of $6234175.77 and market cap $4741355132.38. News sentiment score is -0.025 and social sentiment is -0.168.",Negative
"Solana recorded a 4.17% change in the last 24 hours, with a trading volume of $16360738.92 and market cap $1640111341123.13. News sentiment score is 0.19 and social sentiment is -0.072.",Negative
"Ethereum recorded a -9.69% change in the last 24 hours, with a trading volume of $6066311.46 and market cap $29610890712363.12. News sentiment score is 0.497 and social sentiment is 0.271.",Neutral
"Cardano recorded a 3.55% change in the last 24 hours, with a trading volume of $4083311.72 and market cap $1416590881.68. News sentiment score is -0.146 and social sentiment is -0.21.",Negative
"Polkadot recorded a 14.01% change in the last 24 hours, with a trading volume of $10325834.5 and market cap $34087005797.39. News sentiment score is -0.053 and social sentiment is 0.165.",Negative
"Avalanche recorded a -6.24% change in the last 24 hours, with a trading volume of $4186437.17 and market cap $424785532192.7. News sentiment score is 0.071 and social sentiment is 0.261.",Negative
"Bitcoin recorded a -2.68% change in the last 24 hours, with a trading volume of $2394147.11 and market cap $1009556247605329.0. News sentiment score is -0.393 and social sentiment is 0.097.",Negative
"Polygon recorded a 6.08% change in the last 24 hours, with a trading volume of $1573637.06 and market cap $20505020733.84. News sentiment score is -0.165 and social sentiment is -0.508.",Negative
"Bitcoin recorded a 7.01% change in the last 24 hours, with a trading volume of $4391559.77 and market cap $457280557395127.6. News sentiment score is 0.036 and social sentiment is -0.03.",Negative
"Bitcoin recorded a 7.0% change in the last 24 hours, with a trading volume of $3944596.49 and market cap $418198497696709.3. News sentiment score is 0.177 and social sentiment is -0.076.",Negative
"Algorand recorded a -6.52% change in the last 24 hours, with a trading volume of $1906247.39 and market cap $188673760.09. News sentiment score is 0.329 and social sentiment is 0.083.",Negative
"Algorand recorded a -7.45% change in the last 24 hours, with a trading volume of $1814832.66 and market cap $2414845486.28. News sentiment score is 0.003 and social sentiment is 0.099.",Negative
"Ethereum recorded a -11.17% change in the last 24 hours, with a trading volume of $3493127.82 and market cap $34400344306245.62. News sentiment score is -0.338 and social sentiment is -0.112.",Negative
"Cosmos recorded a 7.98% change in the last 24 hours, with a trading volume of $1553218.65 and market cap $20564915766.57. News sentiment score is -0.191 and social sentiment is -0.02.",Negative
"Solana recorded a -0.13% change in the last 24 hours, with a trading volume of $4463343.95 and market cap $1502757502265.84. News sentiment score is -0.403 and social sentiment is -0.398.",Negative
"Avalanche recorded a -7.63% change in the last 24 hours, with a trading volume of $2483902.97 and market cap $216714173938.54. News sentiment score is -0.63 and social sentiment is -0.562.",Negative
"Chainlink recorded a -14.3% change in the last 24 hours, with a trading volume of $6934707.28 and market cap $263100622335.79. News sentiment score is -0.279 and social sentiment is 0.026.",Negative
"Avalanche recorded a 4.79% change in the last 24 hours, with a trading volume of $13335913.71 and market cap $626961800985.67. News sentiment score is -0.036 and social sentiment is 0.339.",Negative
"Cosmos recorded a -13.52% change in the last 24 hours, with a trading volume of $5853363.41 and market cap $212482272680.21. News sentiment score is 0.306 and social sentiment is 0.264.",Negative
"Avalanche recorded a 11.23% change in the last 24 hours, with a trading volume of $2001421.07 and market cap $530936894303.58. News sentiment score is 0.521 and social sentiment is 0.233.",Neutral
"Solana recorded a -16.73% change in the last 24 hours, with a trading volume of $2015601.72 and market cap $1181662913543.24. News sentiment score is 0.781 and social sentiment is 0.317.",Positive
"Bitcoin recorded a 12.97% change in the last 24 hours, with a trading volume of $9803674.34 and market cap $162187640622222.6. News sentiment score is 0.489 and social sentiment is 0.77.",Neutral
"Chainlink recorded a -20.02% change in the last 24 hours, with a trading volume of $1669345.94 and market cap $78079661208.01. News sentiment score is -0.577 and social sentiment is -0.29.",Negative
"Polkadot recorded a 12.27% change in the last 24 hours, with a trading volume of $1633873.07 and market cap $154945566383.76. News sentiment score is 0.137 and social sentiment is 0.197.",Negative
"Polygon recorded a 0.32% change in the last 24 hours, with a trading volume of $9768089.56 and market cap $8199345700.57. News sentiment score is -0.045 and social sentiment is 0.25.",Negative
"Chainlink recorded a -14.07% change in the last 24 hours, with a trading volume of $3899764.19 and market cap $289702659997.91. News sentiment score is -0.024 and social sentiment is 0.119.",Negative
"Polygon recorded a 6.91% change in the last 24 hours, with a trading volume of $2939025.66 and market cap $14257051326.86. News sentiment score is 0.026 and social sentiment is -0.043.",Negative
"Polkadot recorded a -3.59% change in the last 24 hours, with a trading volume of $2610172.13 and market cap $143121285058.04. News sentiment score is 0.028 and social sentiment is -0.098.",Negative
"Cardano recorded a 9.54% change in the last 24 hours, with a trading volume of $3284740.76 and market cap $2281886962.23. News sentiment score is 0.074 and social sentiment is 0.574.",Negative
"Solana recorded a 5.56% change in the last 24 hours, with a trading volume of $9809382.45 and market cap $621121822290.23. News sentiment score is 0.135 and social sentiment is 0.033.",Negative
"Solana recorded a 7.95% change in the last 24 hours, with a trading volume of $2188157.32 and market cap $869792342209.11. News sentiment score is -0.07 and social sentiment is 0.159.",Negative
"Algorand recorded a 17.58% change in the last 24 hours, with a trading volume of $4029137.67 and market cap $5186773924.78. News sentiment score is 0.263 and social sentiment is -0.587.",Negative
"Chainlink recorded a 10.27% change in the last 24 hours, with a trading volume of $2519350.89 and market cap $284318609497.77. News sentiment score is 0.116 and social sentiment is 0.599.",Negative
"Solana recorded a -12.2% change in the last 24 hours, with a trading volume of $915228.63 and market cap $850578751878.17. News sentiment score is 0.083 and social sentiment is -0.039.",Negative
"Cardano recorded a -12.07% change in the last 24 hours, with a trading volume of $8704802.12 and market cap $8524799515.37. News sentiment score is 0.084 and social sentiment is 0.226.",Negative
